team,round,Q,answer,correct
Diminishing Returns,6,5,"JFK, FDR",Y
Losing 21 in 2021,6,5,"franklin delano roosevelt, richard nixon",
Mile High Owls,6,5,JFK and FDR,Y
Netflix & Quill,6,5,Kennedy & Johnson,
Quaranteam 2020,6,5,"Franklin D Roosevelt, John F Kennedy",Y
Weens <();:::::::::::::::;~,6,5,,
Zack and Hyejin,6,5,"Nixon, Kennedy ",
"5,000 Candles in the Wind",6,6,Westworld,Y
Bébé Yoda,6,6,Westworld,Y
Blue Taran-dactyls,6,6,Westworld ,Y
Days of Auld Lang-xiety,6,6,West World,Y
Diminishing Returns,6,6,Westworld,Y
Losing 21 in 2021,6,6,westworld,Y
Mile High Owls,6,6,Westworld,Y
Netflix & Quill,6,6,West World,Y
Quaranteam 2020,6,6,West world,Y
Weens <();:::::::::::::::;~,6,6,,
Zack and Hyejin,6,6,Sex and the city in the monolith mountains ,
"5,000 Candles in the Wind",6,7,Nepal and Tibet,Y
Bébé Yoda,6,7,Nepal and tibet (china),Y
Blue Taran-dactyls,6,7,Nepal and Tibet ,Y
Days of Auld Lang-xiety,6,7,India and China,
Diminishing Returns,6,7,"Nepal, Tibet",Y
Losing 21 in 2021,6,7,"nepal, tibet (china)",Y
Mile High Owls,6,7,Nepal and India,
Netflix & Quill,6,7,Nepal & tibet,Y
Quaranteam 2020,6,7,Nepal and India (Kashmir),
Weens <();:::::::::::::::;~,6,7,,
Zack and Hyejin,6,7,"Nepal, China",
"5,000 Candles in the Wind",6,8,Russia ,Y
Bébé Yoda,6,8,Russia,Y
Blue Taran-dactyls,6,8,Russia ,Y
Days of Auld Lang-xiety,6,8,Russia,Y
Diminishing Returns,6,8,Russia,Y
Losing 21 in 2021,6,8,russia,Y
Mile High Owls,6,8,Russia,Y
Netflix & Quill,6,8,Russia (USSR) ,Y
Quaranteam 2020,6,8,Russia,Y
Weens <();:::::::::::::::;~,6,8,,
Zack and Hyejin,6,8,Russia,Y
"5,000 Candles in the Wind",6,9,Pete Doctor,Y
Bébé Yoda,6,9,Andrew noah,
Blue Taran-dactyls,6,9,Paul Barker ,
Days of Auld Lang-xiety,6,9,Pete Doctor,Y
Diminishing Returns,6,9,Spielberg,
Losing 21 in 2021,6,9,,
Mile High Owls,6,9,John Lassiter,
Netflix & Quill,6,9,Mickey Mouse,
Quaranteam 2020,6,9,,
Weens <();:::::::::::::::;~,6,9,,
Zack and Hyejin,6,9,Dwight’s schrutes,
"5,000 Candles in the Wind",6,10,11:59:00 GMT (George Murphy Time),Y
Bébé Yoda,6,10,11:59:30 pm,
Blue Taran-dactyls,6,10,11:59:50,
Days of Auld Lang-xiety,6,10,11:56,
Diminishing Returns,6,10,11:59:50 ET,
Losing 21 in 2021,6,10,11:59.100 pm,Y
Mile High Owls,6,10,11:59:00 PM ET,Y
Netflix & Quill,6,10,11:53:01,
Quaranteam 2020,6,10,11:59:30,
Weens <();:::::::::::::::;~,6,10,,
Zack and Hyejin,6,10,11:59pm 00 seconds,Y
