team,round,Q,answer,correct
Zack and Hyejin,2,2,Dwight’s schrutes,
"5,000 Candles in the Wind",2,3,Chicago resident,Y
Bébé Yoda,2,3,Jordan fan,
Blue Taran-dactyls,2,3,Chicago resident,Y
Days of Auld Lang-xiety,2,3,Chicago Resident,Y
Diminishing Returns,2,3,Chicago Resident,Y
Losing 21 in 2021,2,3,chicago resident,Y
Mile High Owls,2,3,Bull’s Fan,
Netflix & Quill,2,3,Former Chicago resident,Y
Quaranteam 2020,2,3,44th President of the United States,
Weens <();:::::::::::::::;~,2,3,Former Chicago resident ,Y
Zack and Hyejin,2,3,Family friend,
"5,000 Candles in the Wind",2,4,Jerry Gurgich,
Bébé Yoda,2,4,Root of z,
Blue Taran-dactyls,2,4,ÆX-12,Y
Days of Auld Lang-xiety,2,4,32_xS@-b12,
Diminishing Returns,2,4,XAENY12,Y
Losing 21 in 2021,2,4,x-ae-12,Y
Mile High Owls,2,4,X AE A-12,Y
Netflix & Quill,2,4,XAE-12,Y
Quaranteam 2020,2,4,Alpha Omega ,
Weens <();:::::::::::::::;~,2,4,E6qm,
Zack and Hyejin,2,4,Xv10y12,
"5,000 Candles in the Wind",2,5,Metropolitan Transit Authority,
Bébé Yoda,2,5,Metropolitan transit authority,
Blue Taran-dactyls,2,5,Metropolitan Transit Authority ,
Days of Auld Lang-xiety,2,5,Metropolitan Transit Authority,
Diminishing Returns,2,5,Metropolitan Transit Authority,
Losing 21 in 2021,2,5,Metropolitan Transportation Authority,Y
Mile High Owls,2,5,Metropolitan Transit Authority,
Netflix & Quill,2,5,Metropolitan Transit Authority,
Quaranteam 2020,2,5,Metropolitan Transit Authority,
Weens <();:::::::::::::::;~,2,5,Metropolitan transit authority ,
Zack and Hyejin,2,5,Metropolitan transportation authority,Y
"5,000 Candles in the Wind",2,6,J Crew,Y
Bébé Yoda,2,6,Brooks brothers,
Blue Taran-dactyls,2,6,J Crew ,Y
Days of Auld Lang-xiety,2,6,J Crew,Y
Diminishing Returns,2,6,J Crew,Y
Losing 21 in 2021,2,6,lord & taylor,
Mile High Owls,2,6,J Crew,Y
Netflix & Quill,2,6,Forever21,
